Messstelle:                ;Kremsdorf
26.12.1999 00:00:00;   229
27.12.1999 00:00:00;   248
28.12.1999 00:00:00;   241
29.12.1999 00:00:00;   234
30.12.1999 00:00:00;   231
31.12.1999 00:00:00;   229
01.01.2000 00:00:00;   228
02.01.2000 00:00:00;   241
03.01.2000 00:00:00;   240
04.01.2000 00:00:00;   233
05.01.2000 00:00:00;   242
06.01.2000 00:00:00;   249
07.01.2000 00:00:00;   237
08.01.2000 00:00:00;   233
09.01.2000 00:00:00;   230
10.01.2000 00:00:00;   228
11.01.2000 00:00:00;   227
12.01.2000 00:00:00;   226
13.01.2000 00:00:00;   225
14.01.2000 00:00:00;   224
15.01.2000 00:00:00;   224
16.01.2000 00:00:00;   224
17.01.2000 00:00:00;   224
18.01.2000 00:00:00;   253
19.01.2000 00:00:00;   248
20.01.2000 00:00:00;   233
21.01.2000 00:00:00;   230
22.01.2000 00:00:00;   228
23.01.2000 00:00:00;   228
24.01.2000 00:00:00;   226
25.01.2000 00:00:00;   223
26.01.2000 00:00:00;   223
27.01.2000 00:00:00;   223
28.01.2000 00:00:00;   223
29.01.2000 00:00:00;   226
30.01.2000 00:00:00;   339
31.01.2000 00:00:00;   317
01.02.2000 00:00:00;   257
02.02.2000 00:00:00;   245
03.02.2000 00:00:00;   241
04.02.2000 00:00:00;   237
05.02.2000 00:00:00;   235
06.02.2000 00:00:00;   234
07.02.2000 00:00:00;   234
08.02.2000 00:00:00;   233
09.02.2000 00:00:00;   240
10.02.2000 00:00:00;   237
11.02.2000 00:00:00;   234
12.02.2000 00:00:00;   235
13.02.2000 00:00:00;   233
14.02.2000 00:00:00;   241
15.02.2000 00:00:00;   237
16.02.2000 00:00:00;   237
17.02.2000 00:00:00;   236
18.02.2000 00:00:00;   233
19.02.2000 00:00:00;   250
20.02.2000 00:00:00;   262
21.02.2000 00:00:00;   248
22.02.2000 00:00:00;   240
23.02.2000 00:00:00;   237
24.02.2000 00:00:00;   235
25.02.2000 00:00:00;   250
26.02.2000 00:00:00;   254
27.02.2000 00:00:00;   240
28.02.2000 00:00:00;   236
29.02.2000 00:00:00;   234
01.03.2000 00:00:00;   233
02.03.2000 00:00:00;   232
03.03.2000 00:00:00;   231
04.03.2000 00:00:00;   241
05.03.2000 00:00:00;   241
06.03.2000 00:00:00;   236
07.03.2000 00:00:00;   236
08.03.2000 00:00:00;   235
09.03.2000 00:00:00;   249
10.03.2000 00:00:00;   251
11.03.2000 00:00:00;   248
12.03.2000 00:00:00;   245
13.03.2000 00:00:00;   237
14.03.2000 00:00:00;   235
15.03.2000 00:00:00;   249
16.03.2000 00:00:00;   248
17.03.2000 00:00:00;   301
18.03.2000 00:00:00;   278
19.03.2000 00:00:00;   250
20.03.2000 00:00:00;   242
21.03.2000 00:00:00;   239
22.03.2000 00:00:00;   237
23.03.2000 00:00:00;   236
24.03.2000 00:00:00;   234
25.03.2000 00:00:00;   235
26.03.2000 00:00:00;   233
27.03.2000 00:00:00;   236
28.03.2000 00:00:00;   258
29.03.2000 00:00:00;   243
30.03.2000 00:00:00;   239
31.03.2000 00:00:00;   256
01.04.2000 00:00:00;   244
02.04.2000 00:00:00;   238
03.04.2000 00:00:00;   236
04.04.2000 00:00:00;   234
05.04.2000 00:00:00;   233
06.04.2000 00:00:00;   247
07.04.2000 00:00:00;   239
08.04.2000 00:00:00;   235
09.04.2000 00:00:00;   233
10.04.2000 00:00:00;   232
11.04.2000 00:00:00;   231
12.04.2000 00:00:00;   231
13.04.2000 00:00:00;   230
14.04.2000 00:00:00;   229
15.04.2000 00:00:00;   229
16.04.2000 00:00:00;   228
17.04.2000 00:00:00;   228
18.04.2000 00:00:00;   229
19.04.2000 00:00:00;   228
20.04.2000 00:00:00;   227
21.04.2000 00:00:00;   226
22.04.2000 00:00:00;   226
23.04.2000 00:00:00;   226
24.04.2000 00:00:00;   226
25.04.2000 00:00:00;   225
26.04.2000 00:00:00;   224
27.04.2000 00:00:00;   224
28.04.2000 00:00:00;   224
29.04.2000 00:00:00;   224
30.04.2000 00:00:00;   226
01.05.2000 00:00:00;   226
02.05.2000 00:00:00;   224
03.05.2000 00:00:00;   224
04.05.2000 00:00:00;   224
05.05.2000 00:00:00;   227
06.05.2000 00:00:00;   227
07.05.2000 00:00:00;   224
08.05.2000 00:00:00;   223
09.05.2000 00:00:00;   226
10.05.2000 00:00:00;   224
11.05.2000 00:00:00;   223
12.05.2000 00:00:00;   223
13.05.2000 00:00:00;   227
14.05.2000 00:00:00;   223
15.05.2000 00:00:00;   221
16.05.2000 00:00:00;   220
17.05.2000 00:00:00;   219
18.05.2000 00:00:00;   229
19.05.2000 00:00:00;   235
20.05.2000 00:00:00;   231
21.05.2000 00:00:00;   229
22.05.2000 00:00:00;   230
23.05.2000 00:00:00;   228
24.05.2000 00:00:00;   225
25.05.2000 00:00:00;   224
26.05.2000 00:00:00;   224
27.05.2000 00:00:00;   224
28.05.2000 00:00:00;   222
29.05.2000 00:00:00;   226
30.05.2000 00:00:00;   224
31.05.2000 00:00:00;   227
01.06.2000 00:00:00;   228
02.06.2000 00:00:00;   224
03.06.2000 00:00:00;   222
04.06.2000 00:00:00;   221
05.06.2000 00:00:00;   222
06.06.2000 00:00:00;   232
07.06.2000 00:00:00;   246
08.06.2000 00:00:00;   229
09.06.2000 00:00:00;   226
10.06.2000 00:00:00;   224
11.06.2000 00:00:00;   223
12.06.2000 00:00:00;   222
13.06.2000 00:00:00;   222
14.06.2000 00:00:00;   222
15.06.2000 00:00:00;   223
16.06.2000 00:00:00;   227
17.06.2000 00:00:00;   223
18.06.2000 00:00:00;   222
19.06.2000 00:00:00;   222
20.06.2000 00:00:00;   221
21.06.2000 00:00:00;   221
22.06.2000 00:00:00;   220
23.06.2000 00:00:00;   224
24.06.2000 00:00:00;   225
25.06.2000 00:00:00;   229
26.06.2000 00:00:00;   227
27.06.2000 00:00:00;   223
28.06.2000 00:00:00;   221
29.06.2000 00:00:00;   221
30.06.2000 00:00:00;   220
01.07.2000 00:00:00;   220
02.07.2000 00:00:00;   221
03.07.2000 00:00:00;   221
04.07.2000 00:00:00;   229
05.07.2000 00:00:00;   229
06.07.2000 00:00:00;   222
07.07.2000 00:00:00;   221
08.07.2000 00:00:00;   223
09.07.2000 00:00:00;   222
10.07.2000 00:00:00;   222
11.07.2000 00:00:00;   226
12.07.2000 00:00:00;   236
13.07.2000 00:00:00;   232
14.07.2000 00:00:00;   227
15.07.2000 00:00:00;   227
16.07.2000 00:00:00;   225
17.07.2000 00:00:00;   224
18.07.2000 00:00:00;   222
19.07.2000 00:00:00;   222
20.07.2000 00:00:00;   223
21.07.2000 00:00:00;   222
22.07.2000 00:00:00;   221
23.07.2000 00:00:00;   221
24.07.2000 00:00:00;   220
25.07.2000 00:00:00;   220
26.07.2000 00:00:00;   221
27.07.2000 00:00:00;   221
28.07.2000 00:00:00;   222
29.07.2000 00:00:00;   225
30.07.2000 00:00:00;   228
31.07.2000 00:00:00;   228
01.08.2000 00:00:00;   223
02.08.2000 00:00:00;   221
03.08.2000 00:00:00;   230
04.08.2000 00:00:00;   262
05.08.2000 00:00:00;   243
06.08.2000 00:00:00;   234
07.08.2000 00:00:00;   256
08.08.2000 00:00:00;   239
09.08.2000 00:00:00;   235
10.08.2000 00:00:00;   230
11.08.2000 00:00:00;   226
12.08.2000 00:00:00;   224
13.08.2000 00:00:00;   222
14.08.2000 00:00:00;   222
15.08.2000 00:00:00;   221
16.08.2000 00:00:00;   221
17.08.2000 00:00:00;   221
18.08.2000 00:00:00;   220
19.08.2000 00:00:00;   220
20.08.2000 00:00:00;   219
21.08.2000 00:00:00;   218
22.08.2000 00:00:00;   217
23.08.2000 00:00:00;   219
24.08.2000 00:00:00;   218
25.08.2000 00:00:00;   217
26.08.2000 00:00:00;   217
27.08.2000 00:00:00;   217
28.08.2000 00:00:00;   224
29.08.2000 00:00:00;   222
30.08.2000 00:00:00;   218
31.08.2000 00:00:00;   219
01.09.2000 00:00:00;   219
02.09.2000 00:00:00;   219
03.09.2000 00:00:00;   219
04.09.2000 00:00:00;   219
05.09.2000 00:00:00;   219
06.09.2000 00:00:00;   219
07.09.2000 00:00:00;   225
08.09.2000 00:00:00;   229
09.09.2000 00:00:00;   222
10.09.2000 00:00:00;   220
11.09.2000 00:00:00;   219
12.09.2000 00:00:00;   219
13.09.2000 00:00:00;   218
14.09.2000 00:00:00;   220
15.09.2000 00:00:00;   219
16.09.2000 00:00:00;   220
17.09.2000 00:00:00;   229
18.09.2000 00:00:00;   229
19.09.2000 00:00:00;   223
20.09.2000 00:00:00;   220
21.09.2000 00:00:00;   230
22.09.2000 00:00:00;   232
23.09.2000 00:00:00;   226
24.09.2000 00:00:00;   222
25.09.2000 00:00:00;   221
26.09.2000 00:00:00;   220
27.09.2000 00:00:00;   219
28.09.2000 00:00:00;   219
29.09.2000 00:00:00;   219
30.09.2000 00:00:00;   219
01.10.2000 00:00:00;   220
02.10.2000 00:00:00;   224
03.10.2000 00:00:00;   262
04.10.2000 00:00:00;   243
05.10.2000 00:00:00;   231
06.10.2000 00:00:00;   228
07.10.2000 00:00:00;   237
08.10.2000 00:00:00;   245
09.10.2000 00:00:00;   236
10.10.2000 00:00:00;   237
11.10.2000 00:00:00;   232
12.10.2000 00:00:00;   228
13.10.2000 00:00:00;   226
14.10.2000 00:00:00;   225
15.10.2000 00:00:00;   223
16.10.2000 00:00:00;   223
17.10.2000 00:00:00;   223
18.10.2000 00:00:00;   228
19.10.2000 00:00:00;   232
20.10.2000 00:00:00;   226
21.10.2000 00:00:00;   224
22.10.2000 00:00:00;   222
23.10.2000 00:00:00;   221
24.10.2000 00:00:00;   221
25.10.2000 00:00:00;   221
26.10.2000 00:00:00;   221
27.10.2000 00:00:00;   222
28.10.2000 00:00:00;   221
29.10.2000 00:00:00;   221
30.10.2000 00:00:00;   221
31.10.2000 00:00:00;   221
01.11.2000 00:00:00;   221
02.11.2000 00:00:00;   220
03.11.2000 00:00:00;   220
04.11.2000 00:00:00;   221
05.11.2000 00:00:00;   225
06.11.2000 00:00:00;   223
07.11.2000 00:00:00;   221
08.11.2000 00:00:00;   222
09.11.2000 00:00:00;   221
10.11.2000 00:00:00;   221
11.11.2000 00:00:00;   221
12.11.2000 00:00:00;   220
13.11.2000 00:00:00;   220
14.11.2000 00:00:00;   220
15.11.2000 00:00:00;   219
16.11.2000 00:00:00;   221
17.11.2000 00:00:00;   222
18.11.2000 00:00:00;   220
19.11.2000 00:00:00;   220
20.11.2000 00:00:00;   221
21.11.2000 00:00:00;   220
22.11.2000 00:00:00;   222
23.11.2000 00:00:00;   219
24.11.2000 00:00:00;   219
25.11.2000 00:00:00;   219
26.11.2000 00:00:00;   219
27.11.2000 00:00:00;   219
28.11.2000 00:00:00;   219
29.11.2000 00:00:00;   219
30.11.2000 00:00:00;   219
01.12.2000 00:00:00;   218
02.12.2000 00:00:00;   218
03.12.2000 00:00:00;   218
04.12.2000 00:00:00;   218
05.12.2000 00:00:00;   218
06.12.2000 00:00:00;   218
07.12.2000 00:00:00;   218
08.12.2000 00:00:00;   219
09.12.2000 00:00:00;   219
10.12.2000 00:00:00;   219
11.12.2000 00:00:00;   230
12.12.2000 00:00:00;   229
13.12.2000 00:00:00;   225
14.12.2000 00:00:00;   224
15.12.2000 00:00:00;   227
16.12.2000 00:00:00;   231
17.12.2000 00:00:00;   227
18.12.2000 00:00:00;   225
19.12.2000 00:00:00;   245
20.12.2000 00:00:00;   248
21.12.2000 00:00:00;   232
22.12.2000 00:00:00;   228
23.12.2000 00:00:00;   226
24.12.2000 00:00:00;   225
25.12.2000 00:00:00;   224
26.12.2000 00:00:00;   224
27.12.2000 00:00:00;   224
28.12.2000 00:00:00;   226
29.12.2000 00:00:00;   233
30.12.2000 00:00:00;   228
31.12.2000 00:00:00;   226
01.01.2001 00:00:00;   226
02.01.2001 00:00:00;   226
03.01.2001 00:00:00;   226
04.01.2001 00:00:00;   229
05.01.2001 00:00:00;   226
06.01.2001 00:00:00;   228
07.01.2001 00:00:00;   232
08.01.2001 00:00:00;   239
09.01.2001 00:00:00;   244
10.01.2001 00:00:00;   236
11.01.2001 00:00:00;   231
12.01.2001 00:00:00;   238
13.01.2001 00:00:00;   233
14.01.2001 00:00:00;   229
15.01.2001 00:00:00;   225
16.01.2001 00:00:00;   225
17.01.2001 00:00:00;   224
18.01.2001 00:00:00;   223
19.01.2001 00:00:00;   223
20.01.2001 00:00:00;   223
21.01.2001 00:00:00;   222
22.01.2001 00:00:00;   222
23.01.2001 00:00:00;   222
24.01.2001 00:00:00;   222
25.01.2001 00:00:00;   223
26.01.2001 00:00:00;   227
27.01.2001 00:00:00;   229
28.01.2001 00:00:00;   226
29.01.2001 00:00:00;   224
30.01.2001 00:00:00;   223
31.01.2001 00:00:00;   223
01.02.2001 00:00:00;   223
02.02.2001 00:00:00;   224
03.02.2001 00:00:00;   224
04.02.2001 00:00:00;   264
05.02.2001 00:00:00;   266
06.02.2001 00:00:00;   266
07.02.2001 00:00:00;   256
08.02.2001 00:00:00;   249
09.02.2001 00:00:00;   247
10.02.2001 00:00:00;   257
11.02.2001 00:00:00;   245
12.02.2001 00:00:00;   239
13.02.2001 00:00:00;   238
14.02.2001 00:00:00;   245
15.02.2001 00:00:00;   236
16.02.2001 00:00:00;   232
17.02.2001 00:00:00;   229
18.02.2001 00:00:00;   228
19.02.2001 00:00:00;   228
20.02.2001 00:00:00;   226
21.02.2001 00:00:00;   226
22.02.2001 00:00:00;   238
23.02.2001 00:00:00;   235
24.02.2001 00:00:00;   232
25.02.2001 00:00:00;   228
26.02.2001 00:00:00;   226
27.02.2001 00:00:00;   225
28.02.2001 00:00:00;   224
01.03.2001 00:00:00;   223
02.03.2001 00:00:00;   224
03.03.2001 00:00:00;   224
04.03.2001 00:00:00;   226
05.03.2001 00:00:00;   235
06.03.2001 00:00:00;   232
07.03.2001 00:00:00;   229
08.03.2001 00:00:00;   228
09.03.2001 00:00:00;   229
10.03.2001 00:00:00;   228
11.03.2001 00:00:00;   229
12.03.2001 00:00:00;   234
13.03.2001 00:00:00;   234
14.03.2001 00:00:00;   233
15.03.2001 00:00:00;   238
16.03.2001 00:00:00;   238
17.03.2001 00:00:00;   233
18.03.2001 00:00:00;   232
19.03.2001 00:00:00;   231
20.03.2001 00:00:00;   228
21.03.2001 00:00:00;   240
22.03.2001 00:00:00;   249
23.03.2001 00:00:00;   245
24.03.2001 00:00:00;   304
25.03.2001 00:00:00;   255
26.03.2001 00:00:00;   250
27.03.2001 00:00:00;   241
28.03.2001 00:00:00;   235
29.03.2001 00:00:00;   233
30.03.2001 00:00:00;   231
31.03.2001 00:00:00;   230
01.04.2001 00:00:00;   230
02.04.2001 00:00:00;   229
03.04.2001 00:00:00;   229
04.04.2001 00:00:00;   229
05.04.2001 00:00:00;   228
06.04.2001 00:00:00;   227
07.04.2001 00:00:00;   227
08.04.2001 00:00:00;   245
09.04.2001 00:00:00;   254
10.04.2001 00:00:00;   240
11.04.2001 00:00:00;   237
12.04.2001 00:00:00;   282
13.04.2001 00:00:00;   250
14.04.2001 00:00:00;   237
15.04.2001 00:00:00;   234
16.04.2001 00:00:00;   236
17.04.2001 00:00:00;   236
18.04.2001 00:00:00;   236
19.04.2001 00:00:00;   235
20.04.2001 00:00:00;   235
21.04.2001 00:00:00;   241
22.04.2001 00:00:00;   244
23.04.2001 00:00:00;   238
24.04.2001 00:00:00;   233
25.04.2001 00:00:00;   232
26.04.2001 00:00:00;   231
27.04.2001 00:00:00;   229
28.04.2001 00:00:00;   229
29.04.2001 00:00:00;   228
30.04.2001 00:00:00;   226
01.05.2001 00:00:00;   225
02.05.2001 00:00:00;   223
03.05.2001 00:00:00;   223
04.05.2001 00:00:00;   223
05.05.2001 00:00:00;   222
06.05.2001 00:00:00;   224
07.05.2001 00:00:00;   224
08.05.2001 00:00:00;   223
09.05.2001 00:00:00;   223
10.05.2001 00:00:00;   222
11.05.2001 00:00:00;   221
12.05.2001 00:00:00;   221
13.05.2001 00:00:00;   221
14.05.2001 00:00:00;   220
15.05.2001 00:00:00;   220
16.05.2001 00:00:00;   226
17.05.2001 00:00:00;   221
18.05.2001 00:00:00;   224
19.05.2001 00:00:00;   223
20.05.2001 00:00:00;   218
21.05.2001 00:00:00;   216
22.05.2001 00:00:00;   216
23.05.2001 00:00:00;   217
24.05.2001 00:00:00;   217
25.05.2001 00:00:00;   218
26.05.2001 00:00:00;   219
27.05.2001 00:00:00;   218
28.05.2001 00:00:00;   218
29.05.2001 00:00:00;   217
30.05.2001 00:00:00;   216
31.05.2001 00:00:00;   217
01.06.2001 00:00:00;   218
02.06.2001 00:00:00;   220
03.06.2001 00:00:00;   220
04.06.2001 00:00:00;   220
05.06.2001 00:00:00;   220
06.06.2001 00:00:00;   220
07.06.2001 00:00:00;   223
08.06.2001 00:00:00;   221
09.06.2001 00:00:00;   221
10.06.2001 00:00:00;   227
11.06.2001 00:00:00;   234
12.06.2001 00:00:00;   232
13.06.2001 00:00:00;   225
14.06.2001 00:00:00;   223
15.06.2001 00:00:00;   222
16.06.2001 00:00:00;   221
17.06.2001 00:00:00;   224
18.06.2001 00:00:00;   225
19.06.2001 00:00:00;   259
20.06.2001 00:00:00;   256
21.06.2001 00:00:00;   230
22.06.2001 00:00:00;   225
23.06.2001 00:00:00;   223
24.06.2001 00:00:00;   221
25.06.2001 00:00:00;   221
26.06.2001 00:00:00;   219
27.06.2001 00:00:00;   218
28.06.2001 00:00:00;   219
29.06.2001 00:00:00;   234
30.06.2001 00:00:00;   222
01.07.2001 00:00:00;   220
02.07.2001 00:00:00;   219
03.07.2001 00:00:00;   218
04.07.2001 00:00:00;   218
05.07.2001 00:00:00;   217
06.07.2001 00:00:00;   217
07.07.2001 00:00:00;   217
08.07.2001 00:00:00;   217
09.07.2001 00:00:00;   217
10.07.2001 00:00:00;   216
11.07.2001 00:00:00;   216
12.07.2001 00:00:00;   216
13.07.2001 00:00:00;   215
14.07.2001 00:00:00;   215
15.07.2001 00:00:00;   215
16.07.2001 00:00:00;   215
17.07.2001 00:00:00;   216
18.07.2001 00:00:00;   216
19.07.2001 00:00:00;   215
20.07.2001 00:00:00;   237
21.07.2001 00:00:00;   238
22.07.2001 00:00:00;   222
23.07.2001 00:00:00;   219
24.07.2001 00:00:00;   217
25.07.2001 00:00:00;   217
26.07.2001 00:00:00;   216
27.07.2001 00:00:00;   215
28.07.2001 00:00:00;   214
29.07.2001 00:00:00;   214
30.07.2001 00:00:00;   214
31.07.2001 00:00:00;   214
01.08.2001 00:00:00;   213
02.08.2001 00:00:00;   212
03.08.2001 00:00:00;   212
04.08.2001 00:00:00;   210
05.08.2001 00:00:00;   213
06.08.2001 00:00:00;   211
07.08.2001 00:00:00;   209
08.08.2001 00:00:00;   209
09.08.2001 00:00:00;   212
10.08.2001 00:00:00;   215
11.08.2001 00:00:00;   218
12.08.2001 00:00:00;   212
13.08.2001 00:00:00;   210
14.08.2001 00:00:00;   209
15.08.2001 00:00:00;   208
16.08.2001 00:00:00;   208
17.08.2001 00:00:00;   209
18.08.2001 00:00:00;   211
19.08.2001 00:00:00;   207
20.08.2001 00:00:00;   207
21.08.2001 00:00:00;   209
22.08.2001 00:00:00;   209
23.08.2001 00:00:00;   208
24.08.2001 00:00:00;   207
25.08.2001 00:00:00;   206
26.08.2001 00:00:00;   205
27.08.2001 00:00:00;   204
28.08.2001 00:00:00;   207
29.08.2001 00:00:00;   205
30.08.2001 00:00:00;   204
31.08.2001 00:00:00;   206
01.09.2001 00:00:00;   214
02.09.2001 00:00:00;   209
03.09.2001 00:00:00;   206
04.09.2001 00:00:00;   205
05.09.2001 00:00:00;   209
06.09.2001 00:00:00;   212
07.09.2001 00:00:00;   213
08.09.2001 00:00:00;   220
09.09.2001 00:00:00;   263
10.09.2001 00:00:00;   221
11.09.2001 00:00:00;   221
12.09.2001 00:00:00;   221
13.09.2001 00:00:00;   234
14.09.2001 00:00:00;   219
15.09.2001 00:00:00;   214
16.09.2001 00:00:00;   213
17.09.2001 00:00:00;   211
18.09.2001 00:00:00;   239
19.09.2001 00:00:00;   222
20.09.2001 00:00:00;   214
21.09.2001 00:00:00;   212
22.09.2001 00:00:00;   211
23.09.2001 00:00:00;   212
24.09.2001 00:00:00;   218
25.09.2001 00:00:00;   215
26.09.2001 00:00:00;   216
27.09.2001 00:00:00;   221
28.09.2001 00:00:00;   213
29.09.2001 00:00:00;   210
30.09.2001 00:00:00;   210
01.10.2001 00:00:00;   210
02.10.2001 00:00:00;   209
03.10.2001 00:00:00;   208
04.10.2001 00:00:00;   208
05.10.2001 00:00:00;   207
06.10.2001 00:00:00;   207
07.10.2001 00:00:00;   207
08.10.2001 00:00:00;   207
09.10.2001 00:00:00;   206
10.10.2001 00:00:00;   206
11.10.2001 00:00:00;   206
12.10.2001 00:00:00;   206
13.10.2001 00:00:00;   206
14.10.2001 00:00:00;   207
15.10.2001 00:00:00;   206
16.10.2001 00:00:00;   206
17.10.2001 00:00:00;   205
18.10.2001 00:00:00;   204
19.10.2001 00:00:00;   204
20.10.2001 00:00:00;   204
21.10.2001 00:00:00;   204
22.10.2001 00:00:00;   204
23.10.2001 00:00:00;   203
24.10.2001 00:00:00;   204
25.10.2001 00:00:00;   206
26.10.2001 00:00:00;   205
27.10.2001 00:00:00;   204
28.10.2001 00:00:00;   204
29.10.2001 00:00:00;   204
30.10.2001 00:00:00;   203
31.10.2001 00:00:00;   203
01.11.2001 00:00:00;   203
02.11.2001 00:00:00;   202
03.11.2001 00:00:00;   203
04.11.2001 00:00:00;   202
05.11.2001 00:00:00;   202
06.11.2001 00:00:00;   202
07.11.2001 00:00:00;   202
08.11.2001 00:00:00;   207
09.11.2001 00:00:00;   212
10.11.2001 00:00:00;   202
11.11.2001 00:00:00;   199
12.11.2001 00:00:00;   201
13.11.2001 00:00:00;   216
14.11.2001 00:00:00;   215
15.11.2001 00:00:00;   208
16.11.2001 00:00:00;   202
17.11.2001 00:00:00;   200
18.11.2001 00:00:00;   199
19.11.2001 00:00:00;   198
20.11.2001 00:00:00;   199
21.11.2001 00:00:00;   200
22.11.2001 00:00:00;   200
23.11.2001 00:00:00;   223
24.11.2001 00:00:00;   212
25.11.2001 00:00:00;   207
26.11.2001 00:00:00;   232
27.11.2001 00:00:00;   233
28.11.2001 00:00:00;   222
29.11.2001 00:00:00;   219
30.11.2001 00:00:00;   222
01.12.2001 00:00:00;   222
02.12.2001 00:00:00;   214
03.12.2001 00:00:00;   210
04.12.2001 00:00:00;   206
05.12.2001 00:00:00;   232
06.12.2001 00:00:00;   272
07.12.2001 00:00:00;   347
08.12.2001 00:00:00;   247
09.12.2001 00:00:00;   230
10.12.2001 00:00:00;   225
11.12.2001 00:00:00;   222
12.12.2001 00:00:00;   220
13.12.2001 00:00:00;   219
14.12.2001 00:00:00;   213
15.12.2001 00:00:00;   210
16.12.2001 00:00:00;   209
17.12.2001 00:00:00;   209
18.12.2001 00:00:00;   208
19.12.2001 00:00:00;   207
20.12.2001 00:00:00;   206
21.12.2001 00:00:00;   207
22.12.2001 00:00:00;   208
23.12.2001 00:00:00;   207
24.12.2001 00:00:00;   204
25.12.2001 00:00:00;   206
26.12.2001 00:00:00;   219
27.12.2001 00:00:00;   223
28.12.2001 00:00:00;   227
29.12.2001 00:00:00;   336
30.12.2001 00:00:00;   355
31.12.2001 00:00:00;   252
01.01.2002 00:00:00;   238
02.01.2002 00:00:00;   231
03.01.2002 00:00:00;   224
04.01.2002 00:00:00;   219
05.01.2002 00:00:00;   217
06.01.2002 00:00:00;   215
07.01.2002 00:00:00;   214
08.01.2002 00:00:00;   213
09.01.2002 00:00:00;   212
10.01.2002 00:00:00;   210
11.01.2002 00:00:00;   209
12.01.2002 00:00:00;   208
13.01.2002 00:00:00;   207
14.01.2002 00:00:00;   206
15.01.2002 00:00:00;   205
16.01.2002 00:00:00;   204
17.01.2002 00:00:00;   203
18.01.2002 00:00:00;   202
19.01.2002 00:00:00;   201
20.01.2002 00:00:00;   204
21.01.2002 00:00:00;   258
22.01.2002 00:00:00;   260
23.01.2002 00:00:00;   232
24.01.2002 00:00:00;   224
25.01.2002 00:00:00;   224
26.01.2002 00:00:00;   223
27.01.2002 00:00:00;   222
28.01.2002 00:00:00;   237
29.01.2002 00:00:00;   225
30.01.2002 00:00:00;   218
31.01.2002 00:00:00;   215
01.02.2002 00:00:00;   213
02.02.2002 00:00:00;   210
03.02.2002 00:00:00;   206
04.02.2002 00:00:00;   201
05.02.2002 00:00:00;   204
06.02.2002 00:00:00;   204
07.02.2002 00:00:00;   203
08.02.2002 00:00:00;   202
09.02.2002 00:00:00;   203
10.02.2002 00:00:00;   204
11.02.2002 00:00:00;   209
12.02.2002 00:00:00;   204
13.02.2002 00:00:00;   203
14.02.2002 00:00:00;   202
15.02.2002 00:00:00;   202
16.02.2002 00:00:00;   201
17.02.2002 00:00:00;   199
18.02.2002 00:00:00;   198
19.02.2002 00:00:00;   198
20.02.2002 00:00:00;   197
21.02.2002 00:00:00;   197
22.02.2002 00:00:00;   197
23.02.2002 00:00:00;   197
24.02.2002 00:00:00;   201
25.02.2002 00:00:00;   224
26.02.2002 00:00:00;   247
27.02.2002 00:00:00;   227
28.02.2002 00:00:00;   241
01.03.2002 00:00:00;   228
02.03.2002 00:00:00;   216
03.03.2002 00:00:00;   212
04.03.2002 00:00:00;   208
05.03.2002 00:00:00;   207
06.03.2002 00:00:00;   204
07.03.2002 00:00:00;   203
08.03.2002 00:00:00;   202
09.03.2002 00:00:00;   200
10.03.2002 00:00:00;   198
11.03.2002 00:00:00;   197
12.03.2002 00:00:00;   195
13.03.2002 00:00:00;   195
14.03.2002 00:00:00;   195
15.03.2002 00:00:00;   195
16.03.2002 00:00:00;   195
17.03.2002 00:00:00;   195
18.03.2002 00:00:00;   195
19.03.2002 00:00:00;   198
20.03.2002 00:00:00;   277
21.03.2002 00:00:00;   366
22.03.2002 00:00:00;   375
23.03.2002 00:00:00;   287
24.03.2002 00:00:00;   253
25.03.2002 00:00:00;   241
26.03.2002 00:00:00;   236
27.03.2002 00:00:00;   233
28.03.2002 00:00:00;   231
29.03.2002 00:00:00;   230
30.03.2002 00:00:00;   229
31.03.2002 00:00:00;   228
01.04.2002 00:00:00;   227
02.04.2002 00:00:00;   226
03.04.2002 00:00:00;   226
04.04.2002 00:00:00;   225
05.04.2002 00:00:00;   224
06.04.2002 00:00:00;   224
07.04.2002 00:00:00;   223
08.04.2002 00:00:00;   221
09.04.2002 00:00:00;   220
10.04.2002 00:00:00;   220
11.04.2002 00:00:00;   219
12.04.2002 00:00:00;   218
13.04.2002 00:00:00;   218
14.04.2002 00:00:00;   217
15.04.2002 00:00:00;   216
16.04.2002 00:00:00;   214
17.04.2002 00:00:00;   213
18.04.2002 00:00:00;   211
19.04.2002 00:00:00;   211
20.04.2002 00:00:00;   210
21.04.2002 00:00:00;   211
22.04.2002 00:00:00;   210
23.04.2002 00:00:00;   209
24.04.2002 00:00:00;   217
25.04.2002 00:00:00;   216
26.04.2002 00:00:00;   211
27.04.2002 00:00:00;   224
28.04.2002 00:00:00;   218
29.04.2002 00:00:00;   214
30.04.2002 00:00:00;   219
01.05.2002 00:00:00;   213
02.05.2002 00:00:00;   212
03.05.2002 00:00:00;   211
04.05.2002 00:00:00;   207
05.05.2002 00:00:00;   203
06.05.2002 00:00:00;   203
07.05.2002 00:00:00;   201
08.05.2002 00:00:00;   199
09.05.2002 00:00:00;   196
10.05.2002 00:00:00;   197
11.05.2002 00:00:00;   202
12.05.2002 00:00:00;   198
13.05.2002 00:00:00;   198
14.05.2002 00:00:00;   196
15.05.2002 00:00:00;   195
16.05.2002 00:00:00;   194
